id,name,parent_id,identifier,active,created_at
3,Proyecto A,,liquidacion-de-convenios,t,2025-04-28 14:39:32.521652+00
4,Proyecto B,,app-digitalizacion-documentos-sustentos-convenios,f,2025-04-28 14:43:35.131793+00
5,Proyecto C,,implementacion-de-seguridad-servicios-digital,t,2025-05-07 16:22:20.356727+00
6,Proyecto D,,mejoras-impresion-de-sticker,t,2025-05-07 17:23:18.339441+00
7,Proyecto E,,concurso-millon,t,2025-05-07 20:09:49.10496+00
8,Proyecto F,,solicitudes-administrador-temporal,t,2025-05-07 20:27:59.096253+00
10,Proyecto G,,b2b-apoyo-hitos-proyecto,t,2025-05-07 20:41:14.350981+00
11,Proyecto H,59,drogueria,t,2025-05-08 07:45:44.978606+00
12,Proyecto I,11,b2b-dc-cappa-slash-surquillo,t,2025-05-08 07:46:56.604864+00
14,Proyecto J,,token-para-redencion,t,2025-05-08 15:34:09.907514+00
15,Proyecto K,,surcharge,t,2025-05-08 15:49:50.702213+00
16,Proyecto L,,capon-presencial,t,2025-05-09 14:49:16.895996+00
17,Proyecto M,,rappi,t,2025-05-09 15:38:19.205763+00
18,Proyecto N,,logfireb2b,t,2025-05-13 20:08:58.393297+00
22,Proyecto O,,proyecto-drogueria,t,2025-05-19 21:19:09.692722+00
23,Proyecto P,,dialog-nota-de-credito-2b2,t,2025-05-19 22:12:08.988065+00
24,Proyecto Q,,b2b-nc-devolucion-dinero,t,2025-05-19 22:29:19.91981+00
25,Proyecto R,,verificacion-de-integridad-entre-binarios-desplegados-y-codigo-versionado,t,2025-05-28 16:33:18.212601+00
26,Proyecto S,10,migracion-micro-servicios,t,2025-06-02 16:10:53.180552+00
27,Proyecto T,,correccion-acumulacion-de-puntos-cambio-de-producto,t,2025-06-11 12:30:36.805001+00
28,Proyecto U,53,capon-toma-de-pedido-y-aplicar-nc-flujo-presencial,t,2025-06-11 14:45:58.154596+00
29,Proyecto V,,rpa-instalador-pinpad,t,2025-06-11 16:29:16.15493+00
30,Proyecto W,,titan,t,2025-06-16 13:35:12.018227+00
31,Proyecto X,,cuadratura-orvees-millon,t,2025-06-23 20:04:53.784092+00
32,Proyecto Y,,diseno-de-modulo-de-cambio-de-precios,t,2025-06-25 18:25:56.046518+00
33,Proyecto Z,,requerimientos-express,t,2025-06-26 19:52:10.401297+00
34,Proyecto [,,update-hgateway-6-dot-5,t,2025-07-03 15:36:18.233525+00
35,Proyecto \,,posu-reporte-de-anulaciones,t,2025-07-14 14:03:04.708055+00
36,Proyecto ],53,abax-posu-mejoras-en-carga-de-servicios,t,2025-07-14 20:09:37.599503+00
37,Proyecto ^,11,q3-spring-3-los-6-caminos,f,2025-07-15 19:09:32.125648+00
38,Proyecto _,,implementar-limites-para-cash-in-slash-cash-out,t,2025-07-15 19:10:55.053072+00
39,Proyecto `,,sap-hana,t,2025-07-17 15:54:56.789855+00
40,Proyecto a,32,mejoras-modulo-de-stickers,t,2025-07-18 15:42:57.428152+00
41,Proyecto b,,b2b-consulta-comprobantes,t,2025-07-21 22:27:22.057392+00
42,Proyecto c,,los-6-caminos,t,2025-08-01 16:07:26.247299+00
43,Proyecto d,42,q3-sprint-4,t,2025-08-01 16:10:23.590644+00
44,Proyecto e,,operaciones-implementar-pre-boleta,t,2025-08-11 13:50:06.599408+00
45,Proyecto f,,parametro-omnicanal,t,2025-08-11 14:05:00.688929+00
47,Proyecto g,,demonio-millon-revision-regularizacion,t,2025-08-12 20:46:41.163647+00
48,Proyecto h,,quality-assurance-qa,t,2025-08-13 16:40:43.956352+00
