id,relation_type,from_id,to_id,lag,description
9,follows,106,103,,""
11,follows,108,107,,
12,follows,107,103,,
13,follows,131,102,,
14,follows,141,135,,
15,follows,139,138,,
16,follows,140,139,,
17,follows,134,69,,
18,follows,111,110,,""
19,follows,112,111,,""
20,follows,115,112,,""
21,follows,116,115,,""
22,follows,117,116,,""
23,follows,118,117,,""
24,follows,119,118,,""
25,follows,120,119,,""
26,follows,121,120,,""
27,follows,114,113,,""
28,follows,122,114,,""
29,follows,124,111,,""
30,follows,126,113,,""
31,follows,127,113,,""
32,follows,110,102,,""
33,follows,157,109,,""
35,follows,44,43,,
36,follows,59,44,,
37,follows,75,37,,
38,follows,187,182,,
39,follows,163,180,,
40,follows,318,317,,
41,follows,322,321,,
42,follows,326,325,,
45,follows,433,434,,
48,follows,596,595,,
49,follows,606,605,,
50,follows,608,607,,
51,follows,607,606,,
53,follows,641,639,,""
54,follows,650,641,,""
55,follows,644,642,,""
56,follows,645,644,,""
57,follows,646,645,,""
58,follows,651,648,,""
59,follows,649,651,,""
60,follows,652,647,,""
61,follows,652,640,,""
62,follows,642,650,,""
63,follows,657,654,,""
64,follows,656,657,,""
65,follows,655,656,,""
66,follows,662,661,,""
67,follows,663,662,,""
68,follows,664,663,,""
69,follows,665,664,,""
70,follows,666,665,,""
71,follows,669,668,,""
72,follows,670,669,,""
73,follows,671,670,,""
74,follows,672,671,,""
75,follows,675,674,,""
76,follows,676,658,,""
77,follows,676,659,,""
78,follows,676,660,,""
79,follows,676,673,,""
80,follows,680,679,,""
81,follows,681,680,,""
82,follows,682,681,,""
83,follows,683,638,,""
84,follows,683,653,,""
85,follows,683,678,,""
86,follows,683,677,,""
87,follows,648,640,,""
88,follows,668,658,,""
89,follows,667,659,,""
90,follows,674,660,,""
91,follows,654,677,,""
92,follows,684,683,,""
93,follows,661,653,,""
94,follows,686,691,,""
95,follows,691,687,,""
96,follows,691,688,,""
98,follows,691,689,,""
99,follows,698,689,,""
100,follows,691,690,,""
101,follows,694,692,,""
103,follows,715,693,,""
104,follows,696,694,,""
106,follows,711,696,,""
107,follows,701,698,,""
108,follows,699,700,,""
109,follows,700,701,,""
110,follows,706,702,,""
111,follows,725,702,,""
112,follows,706,703,,""
113,follows,724,703,,""
114,follows,706,704,,""
115,follows,730,704,,""
116,follows,706,705,,""
117,follows,708,707,,""
118,follows,709,708,,""
119,follows,710,709,,""
120,follows,712,711,,""
121,follows,713,712,,""
122,follows,714,713,,""
123,follows,717,715,,""
124,follows,716,717,,""
125,follows,719,718,,""
126,follows,720,719,,""
127,follows,721,720,,""
128,follows,722,721,,""
129,follows,723,722,,""
130,follows,726,725,,""
131,follows,727,726,,""
132,follows,728,727,,""
133,follows,729,728,,""
134,follows,731,730,,""
135,follows,770,757,,
136,follows,754,753,,
137,follows,771,770,,
138,follows,772,771,,
139,follows,768,754,,
140,follows,773,695,,""
141,follows,697,773,,""
143,follows,792,794,,""
144,follows,961,960,,
145,follows,962,961,,
146,follows,963,962,,
147,follows,964,963,,
155,follows,1177,1179,,""
161,follows,1181,1176,,""
162,follows,1182,1168,,""
163,follows,1182,1169,,""
164,follows,1182,1170,,""
165,follows,1182,1171,,""
169,follows,1176,1178,,""
171,follows,1193,1175,,""
173,follows,1191,1175,,""
186,follows,1906,1905,,""
187,follows,1907,1906,,""
188,follows,1908,1907,,""
189,follows,1911,1910,,""
190,follows,1912,1911,,""
192,follows,1902,1901,,""
193,follows,1903,1902,,""
196,follows,1905,1903,,""
197,follows,1910,1903,,""
198,follows,1919,1903,,""
199,follows,1918,1919,,""
200,follows,1918,1903,,""
201,follows,1918,1904,,""
